name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;195;0;362;3073;1499;3073;1384;0
header;195;98;195;135;1824;135;1824;98
A;211;96;211;97;213;97;213;96
A;997;163;997;191;1018;191;1018;163
A;207;196;207;196;207;196;207;196
A;1003;412;1003;412;1006;412;1006;412
B;994;833;994;860;1015;860;1015;833
A;1322;1164;1322;1188;1336;1188;1336;1164
A;1423;1262;1423;1269;1429;1269;1429;1262
C;992;1499;992;1527;1012;1527;1012;1499
B;456;1627;456;1643;464;1643;464;1627
A;827;1627;827;1643;835;1643;835;1627
B;445;1671;445;1687;453;1687;453;1671
B;613;1764;613;1779;621;1779;621;1764
B;1332;1813;1332;1829;1341;1829;1341;1813
A;331;1943;331;1969;338;1969;338;1943
A;1099;1979;1099;1980;1101;1980;1101;1979
A;1340;2026;1340;2027;1340;2027;1340;2026
A;1140;2043;1140;2048;1146;2048;1146;2043
D;989;2181;989;2208;1012;2208;1012;2181
A;1378;2457;1378;2463;1384;2463;1384;2457
B;520;2587;520;2603;528;2603;528;2587
A;1148;2607;1148;2612;1153;2612;1153;2607
B;515;2769;515;2784;536;2784;536;2769
B;813;2773;813;2788;834;2788;834;2773
B;1235;2778;1235;2793;1257;2793;1257;2778
A;753;2826;753;2833;758;2833;758;2826
