name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;123;0;514;3067;987;3067;1240;0
header;122;180;122;221;1753;221;1753;180
A;574;105;574;106;574;106;574;105
A;1161;481;1161;493;1168;493;1168;481
A;469;548;469;573;483;573;483;548
A;755;604;755;611;761;611;761;604
A;552;831;552;836;558;836;558;831
B;932;870;932;897;951;897;951;870
A;765;1293;765;1301;772;1301;772;1293
B;608;1339;608;1356;617;1356;617;1339
C;930;1652;930;1683;952;1683;952;1652
B;738;1795;738;1811;747;1811;747;1795
A;574;1885;574;1900;582;1900;582;1885
D;933;2321;933;2348;953;2348;953;2321
A;642;2746;642;2750;645;2750;645;2746
A;560;2871;560;2873;562;2873;562;2871
